Model,MSO4102B-L
Firmware Version,3.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,1
Horizontal Delay,0
Sample Interval,0.0001
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Vertical Position,-3.02
,
,
,
Label,
TIME,CH1
-3.939100e+00,0.0604
-3.939000e+00,0.0604
-3.938900e+00,0.0612
-3.938800e+00,0.0604
-3.938700e+00,0.0604
-3.938600e+00,0.0612
-3.938500e+00,0.0612
-3.938400e+00,0.0604
-3.938300e+00,0.0612
-3.938200e+00,0.0604
-3.938100e+00,0.062
-3.938000e+00,0.0604
-3.937900e+00,0.0612
-3.937800e+00,0.0604
-3.937700e+00,0.0612
-3.937600e+00,0.062
-3.937500e+00,0.0612
-3.937400e+00,0.062
-3.937300e+00,0.0636
-3.937200e+00,0.062
-3.937100e+00,0.062
-3.937000e+00,0.0636
-3.936900e+00,0.0628
-3.936800e+00,0.0636
-3.936700e+00,0.0644
-3.936600e+00,0.0636
-3.936500e+00,0.0636
-3.936400e+00,0.0644
-3.936300e+00,0.0652
-3.936200e+00,0.0644
-3.936100e+00,0.0644
-3.936000e+00,0.0636
-3.935900e+00,0.066
-3.935800e+00,0.0652
-3.935700e+00,0.066
-3.935600e+00,0.0652
-3.935500e+00,0.0668
-3.935400e+00,0.066
-3.935300e+00,0.066
-3.935200e+00,0.0668
-3.935100e+00,0.066
-3.935000e+00,0.066
-3.934900e+00,0.0676
-3.934800e+00,0.0684
-3.934700e+00,0.0684
-3.934600e+00,0.0676
-3.934500e+00,0.0684
-3.934400e+00,0.0684
-3.934300e+00,0.0692
-3.934200e+00,0.0692
-3.934100e+00,0.07
-3.934000e+00,0.0708
-3.933900e+00,0.07
-3.933800e+00,0.0708
-3.933700e+00,0.0708
-3.933600e+00,0.0708
-3.933500e+00,0.0724
-3.933400e+00,0.0724
-3.933300e+00,0.0708
-3.933200e+00,0.0716
-3.933100e+00,0.0732
-3.933000e+00,0.0732
-3.932900e+00,0.074
-3.932800e+00,0.0724
-3.932700e+00,0.0732
-3.932600e+00,0.0732
-3.932500e+00,0.0716
-3.932400e+00,0.0732
-3.932300e+00,0.0732
-3.932200e+00,0.0732
-3.932100e+00,0.0732
-3.932000e+00,0.0724
-3.931900e+00,0.0724
-3.931800e+00,0.0724
-3.931700e+00,0.074
-3.931600e+00,0.0748
-3.931500e+00,0.0724
-3.931400e+00,0.074
-3.931300e+00,0.0732
-3.931200e+00,0.0732
-3.931100e+00,0.074
-3.931000e+00,0.0724
-3.930900e+00,0.0724
-3.930800e+00,0.0732
-3.930700e+00,0.0716
-3.930600e+00,0.0724
-3.930500e+00,0.0724
-3.930400e+00,0.0724
-3.930300e+00,0.0724
-3.930200e+00,0.0724
-3.930100e+00,0.0732
-3.930000e+00,0.0708
-3.929900e+00,0.0708
-3.929800e+00,0.0708
-3.929700e+00,0.0708
-3.929600e+00,0.0692
-3.929500e+00,0.0708
-3.929400e+00,0.07
-3.929300e+00,0.0668
-3.929200e+00,0.0676
-3.929100e+00,0.066
-3.929000e+00,0.0636
-3.928900e+00,0.0652
-3.928800e+00,0.0644
-3.928700e+00,0.0636
-3.928600e+00,0.0636
-3.928500e+00,0.0612
-3.928400e+00,0.0596
-3.928300e+00,0.0604
-3.928200e+00,0.062
-3.928100e+00,0.062
-3.928000e+00,0.0604
-3.927900e+00,0.0604
-3.927800e+00,0.0604
-3.927700e+00,0.0596
-3.927600e+00,0.0596
-3.927500e+00,0.0596
-3.927400e+00,0.0596
-3.927300e+00,0.0604
-3.927200e+00,0.0572
-3.927100e+00,0.0556
-3.927000e+00,0.0556
-3.926900e+00,0.0548
-3.926800e+00,0.0548
-3.926700e+00,0.0532
-3.926600e+00,0.0516
-3.926500e+00,0.0492
-3.926400e+00,0.0476
-3.926300e+00,0.0452
-3.926200e+00,0.0436
-3.926100e+00,0.0404
-3.926000e+00,0.038
-3.925900e+00,0.0356
-3.925800e+00,0.0332
-3.925700e+00,0.03
-3.925600e+00,0.0252
-3.925500e+00,0.0228
-3.925400e+00,0.018
-3.925300e+00,0.0156
-3.925200e+00,0.0124
-3.925100e+00,0.0124
-3.925000e+00,0.0108
-3.924900e+00,0.01
-3.924800e+00,0.0116
-3.924700e+00,0.0124
-3.924600e+00,0.0148
-3.924500e+00,0.0188
-3.924400e+00,0.0212
-3.924300e+00,0.0236
-3.924200e+00,0.0292
-3.924100e+00,0.0316
-3.924000e+00,0.0348
-3.923900e+00,0.038
-3.923800e+00,0.0412
-3.923700e+00,0.0444
-3.923600e+00,0.046
-3.923500e+00,0.046
-3.923400e+00,0.0492
-3.923300e+00,0.0508
-3.923200e+00,0.0516
-3.923100e+00,0.0516
-3.923000e+00,0.0524
-3.922900e+00,0.0548
-3.922800e+00,0.0548
-3.922700e+00,0.0556
-3.922600e+00,0.0548
-3.922500e+00,0.0564
-3.922400e+00,0.0548
-3.922300e+00,0.0572
-3.922200e+00,0.0556
-3.922100e+00,0.0556
-3.922000e+00,0.058
-3.921900e+00,0.0572
-3.921800e+00,0.0572
-3.921700e+00,0.0572
-3.921600e+00,0.0572
-3.921500e+00,0.058
-3.921400e+00,0.058
-3.921300e+00,0.0564
-3.921200e+00,0.0572
-3.921100e+00,0.058
-3.921000e+00,0.058
-3.920900e+00,0.058
-3.920800e+00,0.058
-3.920700e+00,0.058
-3.920600e+00,0.0588
-3.920500e+00,0.058
-3.920400e+00,0.0572
-3.920300e+00,0.0572
-3.920200e+00,0.0604
-3.920100e+00,0.058
-3.920000e+00,0.0572
-3.919900e+00,0.0588
-3.919800e+00,0.0572
-3.919700e+00,0.058
-3.919600e+00,0.0588
-3.919500e+00,0.0588
-3.919400e+00,0.0596
-3.919300e+00,0.0564
-3.919200e+00,0.0572
-3.919100e+00,0.0572
-3.919000e+00,0.0588
-3.918900e+00,0.0572
-3.918800e+00,0.0588
-3.918700e+00,0.058
-3.918600e+00,0.0564
-3.918500e+00,0.0572
-3.918400e+00,0.054
-3.918300e+00,0.0548
-3.918200e+00,0.0548
-3.918100e+00,0.054
-3.918000e+00,0.0524
-3.917900e+00,0.0564
-3.917800e+00,0.054
-3.917700e+00,0.0532
-3.917600e+00,0.054
-3.917500e+00,0.0532
-3.917400e+00,0.054
-3.917300e+00,0.054
-3.917200e+00,0.054
-3.917100e+00,0.054
-3.917000e+00,0.0556
-3.916900e+00,0.0548
-3.916800e+00,0.0564
-3.916700e+00,0.0548
-3.916600e+00,0.0588
-3.916500e+00,0.058
-3.916400e+00,0.0596
-3.916300e+00,0.0588
-3.916200e+00,0.0588
-3.916100e+00,0.0596
-3.916000e+00,0.0604
-3.915900e+00,0.0604
-3.915800e+00,0.0604
-3.915700e+00,0.0612
-3.915600e+00,0.062
-3.915500e+00,0.0636
-3.915400e+00,0.062
-3.915300e+00,0.0628
-3.915200e+00,0.0652
-3.915100e+00,0.0644
-3.915000e+00,0.066
-3.914900e+00,0.0644
-3.914800e+00,0.0676
-3.914700e+00,0.0676
-3.914600e+00,0.0676
-3.914500e+00,0.0676
-3.914400e+00,0.0692
-3.914300e+00,0.07
-3.914200e+00,0.0676
-3.914100e+00,0.07
-3.914000e+00,0.0684
-3.913900e+00,0.07
-3.913800e+00,0.07
-3.913700e+00,0.0708
-3.913600e+00,0.07
-3.913500e+00,0.0708
-3.913400e+00,0.07
-3.913300e+00,0.0708
-3.913200e+00,0.0724
-3.913100e+00,0.07
-3.913000e+00,0.0716
-3.912900e+00,0.0716
-3.912800e+00,0.0724
-3.912700e+00,0.0724
-3.912600e+00,0.074
-3.912500e+00,0.0732
-3.912400e+00,0.074
-3.912300e+00,0.0748
-3.912200e+00,0.0756
-3.912100e+00,0.0788
-3.912000e+00,0.0732
-3.911900e+00,0.0748
-3.911800e+00,0.0748
-3.911700e+00,0.074
-3.911600e+00,0.0748
-3.911500e+00,0.0748
-3.911400e+00,0.0756
-3.911300e+00,0.0748
-3.911200e+00,0.074
-3.911100e+00,0.0748
-3.911000e+00,0.074
-3.910900e+00,0.0732
-3.910800e+00,0.074
-3.910700e+00,0.0732
-3.910600e+00,0.0748
-3.910500e+00,0.074
-3.910400e+00,0.074
-3.910300e+00,0.074
-3.910200e+00,0.074
-3.910100e+00,0.0732
-3.910000e+00,0.0716
-3.909900e+00,0.074
-3.909800e+00,0.074
-3.909700e+00,0.0732
-3.909600e+00,0.074
-3.909500e+00,0.0716
-3.909400e+00,0.0724
-3.909300e+00,0.0724
-3.909200e+00,0.0724
-3.909100e+00,0.0732
-3.909000e+00,0.0724
-3.908900e+00,0.0716
-3.908800e+00,0.0724
-3.908700e+00,0.0708
-3.908600e+00,0.0708
-3.908500e+00,0.0708
-3.908400e+00,0.0716
-3.908300e+00,0.0716
-3.908200e+00,0.0716
-3.908100e+00,0.0716
-3.908000e+00,0.0716
-3.907900e+00,0.0708
-3.907800e+00,0.07
-3.907700e+00,0.0708
-3.907600e+00,0.0692
-3.907500e+00,0.07
-3.907400e+00,0.0692
-3.907300e+00,0.0692
-3.907200e+00,0.0684
-3.907100e+00,0.0676
-3.907000e+00,0.0684
-3.906900e+00,0.0676
-3.906800e+00,0.0668
-3.906700e+00,0.0668
-3.906600e+00,0.066
-3.906500e+00,0.0668
-3.906400e+00,0.0668
-3.906300e+00,0.0652
-3.906200e+00,0.066
-3.906100e+00,0.066
-3.906000e+00,0.066
-3.905900e+00,0.0668
-3.905800e+00,0.0652
-3.905700e+00,0.0652
-3.905600e+00,0.0668
-3.905500e+00,0.066
-3.905400e+00,0.066
-3.905300e+00,0.0636
-3.905200e+00,0.0652
-3.905100e+00,0.066
-3.905000e+00,0.066
-3.904900e+00,0.0644
-3.904800e+00,0.0644
-3.904700e+00,0.0636
-3.904600e+00,0.0636
-3.904500e+00,0.0636
-3.904400e+00,0.0636
-3.904300e+00,0.0628
-3.904200e+00,0.0636
-3.904100e+00,0.0644
-3.904000e+00,0.0636
-3.903900e+00,0.0628
-3.903800e+00,0.0628
-3.903700e+00,0.0628
-3.903600e+00,0.0628
-3.903500e+00,0.0628
-3.903400e+00,0.0636
-3.903300e+00,0.0604
-3.903200e+00,0.0628
-3.903100e+00,0.062
-3.903000e+00,0.062
-3.902900e+00,0.0628
-3.902800e+00,0.0628
-3.902700e+00,0.062
-3.902600e+00,0.0636
-3.902500e+00,0.0628
-3.902400e+00,0.0628
-3.902300e+00,0.0628
-3.902200e+00,0.0636
-3.902100e+00,0.0628
-3.902000e+00,0.0628
-3.901900e+00,0.0652
-3.901800e+00,0.0628
-3.901700e+00,0.0628
-3.901600e+00,0.0636
-3.901500e+00,0.0644
-3.901400e+00,0.0644
-3.901300e+00,0.0652
-3.901200e+00,0.0644
-3.901100e+00,0.0652
-3.901000e+00,0.0652
-3.900900e+00,0.0644
-3.900800e+00,0.0652
-3.900700e+00,0.0652
-3.900600e+00,0.0644
-3.900500e+00,0.0652
-3.900400e+00,0.0644
-3.900300e+00,0.0652
-3.900200e+00,0.0652
-3.900100e+00,0.0644
-3.900000e+00,0.0652
-3.899900e+00,0.0652
-3.899800e+00,0.066
-3.899700e+00,0.0668
-3.899600e+00,0.0668
-3.899500e+00,0.0668
-3.899400e+00,0.0668
-3.899300e+00,0.0668
-3.899200e+00,0.0668
-3.899100e+00,0.0676
-3.899000e+00,0.0668
-3.898900e+00,0.0676
-3.898800e+00,0.0668
-3.898700e+00,0.0692
-3.898600e+00,0.0676
-3.898500e+00,0.0692
-3.898400e+00,0.0676
-3.898300e+00,0.07
-3.898200e+00,0.0748
-3.898100e+00,0.0708
-3.898000e+00,0.07
-3.897900e+00,0.07
-3.897800e+00,0.0708
-3.897700e+00,0.0716
-3.897600e+00,0.0716
-3.897500e+00,0.0716
-3.897400e+00,0.0724
-3.897300e+00,0.0732
-3.897200e+00,0.0724
-3.897100e+00,0.0756
-3.897000e+00,0.0732
-3.896900e+00,0.074
-3.896800e+00,0.074
-3.896700e+00,0.0756
-3.896600e+00,0.074
-3.896500e+00,0.0756
-3.896400e+00,0.0756
-3.896300e+00,0.0748
-3.896200e+00,0.074
-3.896100e+00,0.0748
-3.896000e+00,0.0748
-3.895900e+00,0.0756
-3.895800e+00,0.074
-3.895700e+00,0.074
-3.895600e+00,0.074
-3.895500e+00,0.0748
-3.895400e+00,0.0748
-3.895300e+00,0.0764
-3.895200e+00,0.0748
-3.895100e+00,0.0756
-3.895000e+00,0.0772
-3.894900e+00,0.0756
-3.894800e+00,0.0764
-3.894700e+00,0.0764
-3.894600e+00,0.0764
-3.894500e+00,0.0788
-3.894400e+00,0.0764
-3.894300e+00,0.0748
-3.894200e+00,0.0764
-3.894100e+00,0.0764
-3.894000e+00,0.0748
-3.893900e+00,0.0764
-3.893800e+00,0.0764
-3.893700e+00,0.0756
-3.893600e+00,0.0772
-3.893500e+00,0.0756
-3.893400e+00,0.0764
-3.893300e+00,0.0764
-3.893200e+00,0.0748
-3.893100e+00,0.0764
-3.893000e+00,0.0748
-3.892900e+00,0.0748
-3.892800e+00,0.074
-3.892700e+00,0.0756
-3.892600e+00,0.074
-3.892500e+00,0.0748
-3.892400e+00,0.0748
-3.892300e+00,0.0732
-3.892200e+00,0.0748
-3.892100e+00,0.0732
-3.892000e+00,0.0732
-3.891900e+00,0.074
-3.891800e+00,0.0724
-3.891700e+00,0.0716
-3.891600e+00,0.0708
-3.891500e+00,0.0724
-3.891400e+00,0.0716
-3.891300e+00,0.0708
-3.891200e+00,0.0716
-3.891100e+00,0.0708
-3.891000e+00,0.0708
-3.890900e+00,0.07
-3.890800e+00,0.0708
-3.890700e+00,0.0716
-3.890600e+00,0.0708
-3.890500e+00,0.07
-3.890400e+00,0.0692
-3.890300e+00,0.0684
-3.890200e+00,0.0708
-3.890100e+00,0.0708
-3.890000e+00,0.07
-3.889900e+00,0.0692
-3.889800e+00,0.0684
-3.889700e+00,0.0684
-3.889600e+00,0.0676
-3.889500e+00,0.0684
-3.889400e+00,0.0692
-3.889300e+00,0.0684
-3.889200e+00,0.066
-3.889100e+00,0.0652
-3.889000e+00,0.0668
-3.888900e+00,0.066
-3.888800e+00,0.0652
-3.888700e+00,0.0652
-3.888600e+00,0.0652
-3.888500e+00,0.0652
-3.888400e+00,0.0636
-3.888300e+00,0.0644
-3.888200e+00,0.0636
-3.888100e+00,0.0644
-3.888000e+00,0.062
-3.887900e+00,0.0652
-3.887800e+00,0.0644
-3.887700e+00,0.0628
-3.887600e+00,0.0628
-3.887500e+00,0.0612
-3.887400e+00,0.0628
-3.887300e+00,0.0628
-3.887200e+00,0.0628
-3.887100e+00,0.0628
-3.887000e+00,0.0644
-3.886900e+00,0.0628
-3.886800e+00,0.062
-3.886700e+00,0.0612
-3.886600e+00,0.062
-3.886500e+00,0.0612
-3.886400e+00,0.062
-3.886300e+00,0.062
-3.886200e+00,0.0604
-3.886100e+00,0.0604
-3.886000e+00,0.0612
-3.885900e+00,0.0612
-3.885800e+00,0.062
-3.885700e+00,0.0572
-3.885600e+00,0.0612
-3.885500e+00,0.0612
-3.885400e+00,0.0612
-3.885300e+00,0.0604
-3.885200e+00,0.0604
-3.885100e+00,0.0604
-3.885000e+00,0.0604
-3.884900e+00,0.0604
-3.884800e+00,0.0604
-3.884700e+00,0.0604
-3.884600e+00,0.0612
-3.884500e+00,0.0604
-3.884400e+00,0.0596
-3.884300e+00,0.0612
-3.884200e+00,0.062
-3.884100e+00,0.0604
-3.884000e+00,0.062
-3.883900e+00,0.0612
-3.883800e+00,0.0612
-3.883700e+00,0.0612
-3.883600e+00,0.0636
-3.883500e+00,0.062
-3.883400e+00,0.0636
-3.883300e+00,0.062
-3.883200e+00,0.062
-3.883100e+00,0.0628
-3.883000e+00,0.0636
-3.882900e+00,0.0652
-3.882800e+00,0.0636
-3.882700e+00,0.0644
-3.882600e+00,0.0644
-3.882500e+00,0.0644
-3.882400e+00,0.066
-3.882300e+00,0.0652
-3.882200e+00,0.0652
-3.882100e+00,0.066
-3.882000e+00,0.0668
-3.881900e+00,0.0684
-3.881800e+00,0.0668
-3.881700e+00,0.0676
-3.881600e+00,0.0668
-3.881500e+00,0.0676
-3.881400e+00,0.0676
-3.881300e+00,0.0684
-3.881200e+00,0.0684
-3.881100e+00,0.0684
-3.881000e+00,0.0684
-3.880900e+00,0.0668
-3.880800e+00,0.07
-3.880700e+00,0.07
-3.880600e+00,0.0692
-3.880500e+00,0.0708
-3.880400e+00,0.07
-3.880300e+00,0.0708
-3.880200e+00,0.0724
-3.880100e+00,0.0708
-3.880000e+00,0.0724
-3.879900e+00,0.0716
-3.879800e+00,0.0716
-3.879700e+00,0.0716
-3.879600e+00,0.0724
-3.879500e+00,0.0748
-3.879400e+00,0.0724
-3.879300e+00,0.0748
-3.879200e+00,0.0724
-3.879100e+00,0.0732
-3.879000e+00,0.074
-3.878900e+00,0.0748
-3.878800e+00,0.074
-3.878700e+00,0.0748
-3.878600e+00,0.0748
-3.878500e+00,0.0732
-3.878400e+00,0.0764
-3.878300e+00,0.074
-3.878200e+00,0.074
-3.878100e+00,0.0724
-3.878000e+00,0.0764
-3.877900e+00,0.074
-3.877800e+00,0.0748
-3.877700e+00,0.0748
-3.877600e+00,0.0732
-3.877500e+00,0.0732
-3.877400e+00,0.0724
-3.877300e+00,0.0716
-3.877200e+00,0.0724
-3.877100e+00,0.0724
-3.877000e+00,0.07
-3.876900e+00,0.07
-3.876800e+00,0.0692
-3.876700e+00,0.0676
-3.876600e+00,0.0668
-3.876500e+00,0.066
-3.876400e+00,0.0668
-3.876300e+00,0.0652
-3.876200e+00,0.0644
-3.876100e+00,0.0636
-3.876000e+00,0.0612
-3.875900e+00,0.0612
-3.875800e+00,0.0604
-3.875700e+00,0.0588
-3.875600e+00,0.0588
-3.875500e+00,0.0556
-3.875400e+00,0.0548
-3.875300e+00,0.0516
-3.875200e+00,0.0492
-3.875100e+00,0.0484
-3.875000e+00,0.046
-3.874900e+00,0.0428
-3.874800e+00,0.0404
-3.874700e+00,0.0372
-3.874600e+00,0.0348
-3.874500e+00,0.0332
-3.874400e+00,0.0292
-3.874300e+00,0.0268
-3.874200e+00,0.0252
-3.874100e+00,0.0212
-3.874000e+00,0.0204
-3.873900e+00,0.0196
-3.873800e+00,0.0212
-3.873700e+00,0.0196
-3.873600e+00,0.0204
-3.873500e+00,0.0212
-3.873400e+00,0.0244
-3.873300e+00,0.0276
-3.873200e+00,0.0292
-3.873100e+00,0.0332
-3.873000e+00,0.034
-3.872900e+00,0.0372
-3.872800e+00,0.0412
-3.872700e+00,0.0428
-3.872600e+00,0.0444
-3.872500e+00,0.046
-3.872400e+00,0.0476
-3.872300e+00,0.0516
-3.872200e+00,0.0532
-3.872100e+00,0.054
-3.872000e+00,0.0548
-3.871900e+00,0.0572
-3.871800e+00,0.0572
-3.871700e+00,0.0564
-3.871600e+00,0.058
-3.871500e+00,0.058
-3.871400e+00,0.0596
-3.871300e+00,0.0588
-3.871200e+00,0.0588
-3.871100e+00,0.0604
-3.871000e+00,0.0596
-3.870900e+00,0.0596
-3.870800e+00,0.0612
-3.870700e+00,0.0604
-3.870600e+00,0.0604
-3.870500e+00,0.0604
-3.870400e+00,0.0596
-3.870300e+00,0.0612
-3.870200e+00,0.062
-3.870100e+00,0.0604
-3.870000e+00,0.0596
-3.869900e+00,0.0612
-3.869800e+00,0.0612
-3.869700e+00,0.0604
-3.869600e+00,0.0604
-3.869500e+00,0.0596
-3.869400e+00,0.0612
-3.869300e+00,0.062
-3.869200e+00,0.0604
-3.869100e+00,0.0596
-3.869000e+00,0.0612
-3.868900e+00,0.0612
-3.868800e+00,0.0604
-3.868700e+00,0.0612
-3.868600e+00,0.0604
-3.868500e+00,0.0612
-3.868400e+00,0.0604
-3.868300e+00,0.0604
-3.868200e+00,0.0604
-3.868100e+00,0.0604
-3.868000e+00,0.0604
-3.867900e+00,0.062
-3.867800e+00,0.0612
-3.867700e+00,0.0612
-3.867600e+00,0.0604
-3.867500e+00,0.062
-3.867400e+00,0.0604
-3.867300e+00,0.0612
-3.867200e+00,0.0612
-3.867100e+00,0.0604
-3.867000e+00,0.0612
-3.866900e+00,0.0596
-3.866800e+00,0.0612
-3.866700e+00,0.0604
-3.866600e+00,0.0612
-3.866500e+00,0.0612
-3.866400e+00,0.0612
-3.866300e+00,0.0628
-3.866200e+00,0.0612
-3.866100e+00,0.0612
-3.866000e+00,0.0604
-3.865900e+00,0.0628
-3.865800e+00,0.0612
-3.865700e+00,0.062
-3.865600e+00,0.0612
-3.865500e+00,0.0628
-3.865400e+00,0.0636
-3.865300e+00,0.062
-3.865200e+00,0.062
-3.865100e+00,0.0628
-3.865000e+00,0.0652
-3.864900e+00,0.0644
-3.864800e+00,0.0636
-3.864700e+00,0.0652
-3.864600e+00,0.0652
-3.864500e+00,0.0652
-3.864400e+00,0.066
-3.864300e+00,0.0652
-3.864200e+00,0.0644
-3.864100e+00,0.0668
-3.864000e+00,0.0668
-3.863900e+00,0.0668
-3.863800e+00,0.0668
-3.863700e+00,0.0668
-3.863600e+00,0.07
-3.863500e+00,0.0684
-3.863400e+00,0.0684
-3.863300e+00,0.0676
-3.863200e+00,0.0692
-3.863100e+00,0.07
-3.863000e+00,0.07
-3.862900e+00,0.07
-3.862800e+00,0.0708
-3.862700e+00,0.0716
-3.862600e+00,0.0716
-3.862500e+00,0.07
-3.862400e+00,0.0724
-3.862300e+00,0.0716
-3.862200e+00,0.0716
-3.862100e+00,0.0724
-3.862000e+00,0.0724
-3.861900e+00,0.0724
-3.861800e+00,0.0724
-3.861700e+00,0.0716
-3.861600e+00,0.0724
-3.861500e+00,0.074
-3.861400e+00,0.0724
-3.861300e+00,0.0724
-3.861200e+00,0.0732
-3.861100e+00,0.0724
-3.861000e+00,0.0732
-3.860900e+00,0.0708
-3.860800e+00,0.0732
-3.860700e+00,0.074
-3.860600e+00,0.0732
-3.860500e+00,0.0756
-3.860400e+00,0.0724
-3.860300e+00,0.0748
-3.860200e+00,0.074
-3.860100e+00,0.074
-3.860000e+00,0.074
-3.859900e+00,0.074
-3.859800e+00,0.074
-3.859700e+00,0.074
-3.859600e+00,0.0748
-3.859500e+00,0.074
-3.859400e+00,0.074
-3.859300e+00,0.0756
-3.859200e+00,0.0724
-3.859100e+00,0.0716
-3.859000e+00,0.0724
-3.858900e+00,0.0732
-3.858800e+00,0.0724
-3.858700e+00,0.07
-3.858600e+00,0.0716
-3.858500e+00,0.07
-3.858400e+00,0.0692
-3.858300e+00,0.0692
-3.858200e+00,0.0692
-3.858100e+00,0.0684
-3.858000e+00,0.0684
-3.857900e+00,0.0668
-3.857800e+00,0.0668
-3.857700e+00,0.0668
-3.857600e+00,0.0644
-3.857500e+00,0.0652
-3.857400e+00,0.0644
-3.857300e+00,0.0636
-3.857200e+00,0.0628
-3.857100e+00,0.062
-3.857000e+00,0.0636
-3.856900e+00,0.0604
-3.856800e+00,0.0612
-3.856700e+00,0.0604
-3.856600e+00,0.0596
-3.856500e+00,0.0604
-3.856400e+00,0.0612
-3.856300e+00,0.0604
-3.856200e+00,0.0596
-3.856100e+00,0.062
-3.856000e+00,0.0612
-3.855900e+00,0.0612
-3.855800e+00,0.0628
-3.855700e+00,0.0628
-3.855600e+00,0.062
-3.855500e+00,0.062
-3.855400e+00,0.0628
-3.855300e+00,0.0628
-3.855200e+00,0.062
-3.855100e+00,0.0612
-3.855000e+00,0.062
-3.854900e+00,0.0636
-3.854800e+00,0.0612
-3.854700e+00,0.062
-3.854600e+00,0.0604
-3.854500e+00,0.0604
-3.854400e+00,0.062
-3.854300e+00,0.0604
-3.854200e+00,0.0604
-3.854100e+00,0.0604
-3.854000e+00,0.0596
-3.853900e+00,0.0596
-3.853800e+00,0.0596
-3.853700e+00,0.0588
-3.853600e+00,0.0596
-3.853500e+00,0.0596
-3.853400e+00,0.0596
-3.853300e+00,0.058
-3.853200e+00,0.0572
-3.853100e+00,0.0572
-3.853000e+00,0.058
-3.852900e+00,0.0572
-3.852800e+00,0.0588
-3.852700e+00,0.058
-3.852600e+00,0.058
-3.852500e+00,0.058
-3.852400e+00,0.058
-3.852300e+00,0.0572
-3.852200e+00,0.0556
-3.852100e+00,0.0564
-3.852000e+00,0.0556
-3.851900e+00,0.0572
-3.851800e+00,0.0556
-3.851700e+00,0.0548
-3.851600e+00,0.0548
-3.851500e+00,0.054
-3.851400e+00,0.054
-3.851300e+00,0.0556
-3.851200e+00,0.054
-3.851100e+00,0.0532
-3.851000e+00,0.0524
-3.850900e+00,0.0532
-3.850800e+00,0.0524
-3.850700e+00,0.0532
-3.850600e+00,0.0524
-3.850500e+00,0.0516
-3.850400e+00,0.0508
-3.850300e+00,0.05
-3.850200e+00,0.0484
-3.850100e+00,0.0484
-3.850000e+00,0.0476
-3.849900e+00,0.0484
-3.849800e+00,0.046
-3.849700e+00,0.0444
-3.849600e+00,0.042
-3.849500e+00,0.0404
-3.849400e+00,0.0396
-3.849300e+00,0.0388
-3.849200e+00,0.0364
-3.849100e+00,0.0356
-3.849000e+00,0.034
-3.848900e+00,0.0316
-3.848800e+00,0.0308
-3.848700e+00,0.0292
-3.848600e+00,0.0268
-3.848500e+00,0.0268
-3.848400e+00,0.0236
-3.848300e+00,0.0268
-3.848200e+00,0.0228
-3.848100e+00,0.0236
-3.848000e+00,0.0228
-3.847900e+00,0.0212
-3.847800e+00,0.0204
-3.847700e+00,0.022
-3.847600e+00,0.0212
-3.847500e+00,0.022
-3.847400e+00,0.0228
-3.847300e+00,0.022
-3.847200e+00,0.0244
-3.847100e+00,0.0236
-3.847000e+00,0.026
-3.846900e+00,0.0276
-3.846800e+00,0.0292
-3.846700e+00,0.0284
-3.846600e+00,0.03
-3.846500e+00,0.0316
-3.846400e+00,0.034
-3.846300e+00,0.0324
-3.846200e+00,0.0348
-3.846100e+00,0.0348
-3.846000e+00,0.0372
-3.845900e+00,0.0388
-3.845800e+00,0.0372
-3.845700e+00,0.0396
-3.845600e+00,0.042
-3.845500e+00,0.0412
-3.845400e+00,0.0412
-3.845300e+00,0.0428
-3.845200e+00,0.0436
-3.845100e+00,0.0444
-3.845000e+00,0.046
-3.844900e+00,0.046
-3.844800e+00,0.0468
-3.844700e+00,0.0476
-3.844600e+00,0.0476
-3.844500e+00,0.0476
-3.844400e+00,0.0492
-3.844300e+00,0.0508
-3.844200e+00,0.0508
-3.844100e+00,0.0524
-3.844000e+00,0.0508
-3.843900e+00,0.0532
-3.843800e+00,0.054
-3.843700e+00,0.0532
-3.843600e+00,0.0556
-3.843500e+00,0.0548
-3.843400e+00,0.0564
-3.843300e+00,0.0564
-3.843200e+00,0.058
-3.843100e+00,0.058
-3.843000e+00,0.0588
-3.842900e+00,0.0596
-3.842800e+00,0.0604
-3.842700e+00,0.0604
-3.842600e+00,0.0612
-3.842500e+00,0.062
-3.842400e+00,0.0596
-3.842300e+00,0.0628
-3.842200e+00,0.0628
-3.842100e+00,0.0644
-3.842000e+00,0.0644
-3.841900e+00,0.0636
-3.841800e+00,0.0636
-3.841700e+00,0.0636
-3.841600e+00,0.066
-3.841500e+00,0.066
-3.841400e+00,0.066
-3.841300e+00,0.066
-3.841200e+00,0.0644
-3.841100e+00,0.0652
-3.841000e+00,0.0652
-3.840900e+00,0.0652
-3.840800e+00,0.066
-3.840700e+00,0.0652
-3.840600e+00,0.0652
-3.840500e+00,0.0644
-3.840400e+00,0.0652
-3.840300e+00,0.0644
-3.840200e+00,0.0636
-3.840100e+00,0.0636
-3.840000e+00,0.0628
-3.839900e+00,0.0628
-3.839800e+00,0.062
-3.839700e+00,0.0604
-3.839600e+00,0.0604
-3.839500e+00,0.0612
-3.839400e+00,0.0604
-3.839300e+00,0.058
-3.839200e+00,0.058
-3.839100e+00,0.058
